EBFFFBAL_00003	K07478
EBFFFBAL_00004	K00278
EBFFFBAL_00006	K00767
EBFFFBAL_00008	K07090
EBFFFBAL_00014	K00294
EBFFFBAL_00017	K05574
EBFFFBAL_00020	K05576
EBFFFBAL_00021	K05577
EBFFFBAL_00024	K05573
EBFFFBAL_00029	K01928
EBFFFBAL_00034	K01159
EBFFFBAL_00036	K03550
EBFFFBAL_00039	K00286
EBFFFBAL_00040	K14155
EBFFFBAL_00041	K07005
EBFFFBAL_00043	K02115
EBFFFBAL_00044	K02112
EBFFFBAL_00045	K02114
EBFFFBAL_00047	K01926
EBFFFBAL_00048	K03979
EBFFFBAL_00050	K08223
EBFFFBAL_00051	K03470
EBFFFBAL_00055	K01867
EBFFFBAL_00056	K07560
EBFFFBAL_00057	K07104
EBFFFBAL_00064	K01056
EBFFFBAL_00066	K07131
EBFFFBAL_00067	K01937
EBFFFBAL_00068	K01689
EBFFFBAL_00069	K13628
EBFFFBAL_00070	K10775
EBFFFBAL_00071	K15892
EBFFFBAL_00073	K03664
EBFFFBAL_00077	K12988
EBFFFBAL_00078	K03701
EBFFFBAL_00082	K12574
EBFFFBAL_00086	K04078
EBFFFBAL_00093	K03644
EBFFFBAL_00094	K00343
EBFFFBAL_00100	K00337
EBFFFBAL_00101	K00336
EBFFFBAL_00102	K00335
EBFFFBAL_00104	K00333
EBFFFBAL_00105	K00332
EBFFFBAL_00106	K00331
EBFFFBAL_00107	K00330
EBFFFBAL_00108	K00705
EBFFFBAL_00112	K00688
EBFFFBAL_00116	K01579
EBFFFBAL_00117	K01939
EBFFFBAL_00125	K07477
EBFFFBAL_00130	K03631
EBFFFBAL_00133	K00288
EBFFFBAL_00141	K02956
EBFFFBAL_00142	K00962
EBFFFBAL_00148	K03704
EBFFFBAL_00153	K04771
EBFFFBAL_00154	K05516
EBFFFBAL_00156	K07497
EBFFFBAL_00163	K01092
EBFFFBAL_00166	K01468
EBFFFBAL_00168	K00721
EBFFFBAL_00169	K02528
EBFFFBAL_00173	K02636
EBFFFBAL_00177	K01961
EBFFFBAL_00180	K01776
EBFFFBAL_00182	K06895
EBFFFBAL_00184	K21147
EBFFFBAL_00186	K03636
EBFFFBAL_00188	K12339
EBFFFBAL_00189	K00826
EBFFFBAL_00195	K00226
EBFFFBAL_00196	K03737
EBFFFBAL_00201	K09128
EBFFFBAL_00202	K03186
EBFFFBAL_00203	K06207
EBFFFBAL_00204	K12823
EBFFFBAL_00206	K18933
EBFFFBAL_00212	K22893
EBFFFBAL_00213	K07315
EBFFFBAL_00219	K01512
EBFFFBAL_00221	K03630
EBFFFBAL_00236	K01092
EBFFFBAL_00237	K08884
EBFFFBAL_00239	K22856
EBFFFBAL_00240	K03584
EBFFFBAL_00247	K00547
EBFFFBAL_00251	K01697
EBFFFBAL_00254	K02026
EBFFFBAL_00255	K02027
EBFFFBAL_00258	K01739
EBFFFBAL_00259	K00784
EBFFFBAL_00270	K03752
EBFFFBAL_00272	K00336
EBFFFBAL_00273	K05587
EBFFFBAL_00274	K05586
EBFFFBAL_00278	K06971
EBFFFBAL_00283	K16923
EBFFFBAL_00285	K16786
EBFFFBAL_00286	K16786
EBFFFBAL_00288	K00757
EBFFFBAL_00289	K00757
EBFFFBAL_00290	K00757
EBFFFBAL_00299	K00768
EBFFFBAL_00302	K02226
EBFFFBAL_00303	K02232
EBFFFBAL_00308	K05346
EBFFFBAL_00309	K00864
EBFFFBAL_00312	K02283
EBFFFBAL_00316	K02313
EBFFFBAL_00317	K04780
EBFFFBAL_00319	K03469
EBFFFBAL_00320	K00493
EBFFFBAL_00330	K01000
EBFFFBAL_00331	K01929
EBFFFBAL_00334	K03438
EBFFFBAL_00340	K03800
EBFFFBAL_00342	K01208
EBFFFBAL_00347	K14262
EBFFFBAL_00348	K07214
EBFFFBAL_00352	K12234
EBFFFBAL_00358	K04759
EBFFFBAL_00361	K00320
EBFFFBAL_00363	K12529
EBFFFBAL_00364	K06972
EBFFFBAL_00365	K12528
EBFFFBAL_00368	K08723
EBFFFBAL_00371	K13606
EBFFFBAL_00378	K07402
EBFFFBAL_00385	K07402
EBFFFBAL_00389	K00940
EBFFFBAL_00392	K03086
EBFFFBAL_00393	K08153
EBFFFBAL_00407	K07667
EBFFFBAL_00412	K12132
EBFFFBAL_00413	K01783
EBFFFBAL_00415	K07030
EBFFFBAL_00418	K03655
EBFFFBAL_00419	K00954
EBFFFBAL_00436	K13037
EBFFFBAL_00438	K01990
EBFFFBAL_00443	K06969
EBFFFBAL_00445	K07040
EBFFFBAL_00451	K06911
EBFFFBAL_00453	K03743
EBFFFBAL_00455	K02259
EBFFFBAL_00460	K08680
EBFFFBAL_00462	K02552
EBFFFBAL_00463	K02551
EBFFFBAL_00464	K01661
EBFFFBAL_00465	K01911
EBFFFBAL_00468	K18437
EBFFFBAL_00489	K22491
EBFFFBAL_00490	K02004
EBFFFBAL_00491	K02003
EBFFFBAL_00495	K19710
EBFFFBAL_00496	K00626
EBFFFBAL_00498	K00074
EBFFFBAL_00499	K03333
EBFFFBAL_00509	K00248
EBFFFBAL_00515	K07646
EBFFFBAL_00516	K11329
EBFFFBAL_00522	K07150
EBFFFBAL_00523	K02237
EBFFFBAL_00525	K01476
EBFFFBAL_00527	K00872
EBFFFBAL_00539	K14394
EBFFFBAL_00541	K18967
EBFFFBAL_00545	K00796
EBFFFBAL_00556	K06929
EBFFFBAL_00562	K03775
EBFFFBAL_00567	K11085
EBFFFBAL_00572	K06949
EBFFFBAL_00573	K21467
EBFFFBAL_00574	K06287
EBFFFBAL_00575	K03816
EBFFFBAL_00576	K01951
EBFFFBAL_00607	K01990
EBFFFBAL_00611	K01493
EBFFFBAL_00620	K05592
EBFFFBAL_00629	K07460
EBFFFBAL_00630	K00791
EBFFFBAL_00631	K01897
EBFFFBAL_00633	K03798
EBFFFBAL_00636	K00648
EBFFFBAL_00637	K09458
EBFFFBAL_00640	K02356
EBFFFBAL_00650	K01338
EBFFFBAL_00656	K01895
EBFFFBAL_00657	K03924
EBFFFBAL_00662	K09874
EBFFFBAL_00663	K00604
EBFFFBAL_00665	K02437
EBFFFBAL_00666	K00282
EBFFFBAL_00667	K00283
EBFFFBAL_00669	K00876
EBFFFBAL_00670	K01802
EBFFFBAL_00673	K14286
EBFFFBAL_00681	K11068
EBFFFBAL_00688	K00075
EBFFFBAL_00689	K01924
EBFFFBAL_00693	K01925
EBFFFBAL_00695	K00193
EBFFFBAL_00701	K02864
EBFFFBAL_00702	K02863
EBFFFBAL_00703	K02867
EBFFFBAL_00704	K02601
EBFFFBAL_00707	K02358
EBFFFBAL_00712	K03218
EBFFFBAL_00713	K01883
EBFFFBAL_00715	K06530
EBFFFBAL_00716	K06228
EBFFFBAL_00719	K00975
EBFFFBAL_00722	K01858
EBFFFBAL_00739	K02036
EBFFFBAL_00740	K00845
EBFFFBAL_00745	K01101
EBFFFBAL_00746	K06941
EBFFFBAL_00754	K00790
EBFFFBAL_00755	K05810
EBFFFBAL_00756	K06997
EBFFFBAL_00767	K08152
EBFFFBAL_00779	K03522
EBFFFBAL_00793	K00615
EBFFFBAL_00796	K02529
EBFFFBAL_00797	K02027
EBFFFBAL_00798	K10109
EBFFFBAL_00799	K17320
EBFFFBAL_00806	K02028
EBFFFBAL_00807	K10040
EBFFFBAL_00810	K03601
EBFFFBAL_00814	K00662
EBFFFBAL_00815	K00974
EBFFFBAL_00816	K00760
EBFFFBAL_00817	K00857
EBFFFBAL_00820	K02909
EBFFFBAL_00821	K02899
EBFFFBAL_00822	K02888
EBFFFBAL_00824	K03072
EBFFFBAL_00840	K00847
EBFFFBAL_00846	K07444
EBFFFBAL_00855	K20534
EBFFFBAL_00857	K00926
EBFFFBAL_00861	K03710
EBFFFBAL_00864	K01491
EBFFFBAL_00866	K03739
EBFFFBAL_00869	K08884
EBFFFBAL_00873	K02470
EBFFFBAL_00877	K01995
EBFFFBAL_00878	K01996
EBFFFBAL_00879	K18258
EBFFFBAL_00880	K00303
EBFFFBAL_00887	K00540
EBFFFBAL_00888	K09516
EBFFFBAL_00899	K09807
EBFFFBAL_00904	K07729
EBFFFBAL_00906	K00161
EBFFFBAL_00907	K00162
EBFFFBAL_00913	K06212
EBFFFBAL_00914	K06877
EBFFFBAL_00923	K06153
EBFFFBAL_00924	K00773
EBFFFBAL_00927	K13524
EBFFFBAL_00932	K08884
EBFFFBAL_00934	K01126
EBFFFBAL_00937	K07462
EBFFFBAL_00942	K00927
EBFFFBAL_00945	K00761
EBFFFBAL_00948	K07568
EBFFFBAL_00949	K00756
EBFFFBAL_00953	K03106
EBFFFBAL_00956	K02860
EBFFFBAL_00957	K04096
EBFFFBAL_00958	K00971
EBFFFBAL_00959	K03168
EBFFFBAL_00963	K01129
EBFFFBAL_00966	K00869
EBFFFBAL_00967	K14136
EBFFFBAL_00968	K06442
EBFFFBAL_00969	K03596
EBFFFBAL_00984	K07497
EBFFFBAL_00999	K01486
EBFFFBAL_01001	K03722
EBFFFBAL_01003	K10598
EBFFFBAL_01004	K00876
EBFFFBAL_01008	K02379
EBFFFBAL_01017	K00655
EBFFFBAL_01019	K07402
EBFFFBAL_01020	K02346
EBFFFBAL_01023	K01807
EBFFFBAL_01025	K03665
EBFFFBAL_01031	K03657
EBFFFBAL_01041	K02434
EBFFFBAL_01043	K10907
EBFFFBAL_01045	K07319
EBFFFBAL_01049	K03975
EBFFFBAL_01063	K01654
EBFFFBAL_01071	K07257
EBFFFBAL_01074	K00789
EBFFFBAL_01075	K15894
EBFFFBAL_01077	K01990
EBFFFBAL_01078	K09690
EBFFFBAL_01079	K02377
EBFFFBAL_01083	K07497
EBFFFBAL_01088	K03581
EBFFFBAL_01091	K10255
EBFFFBAL_01098	K00839
EBFFFBAL_01103	K03088
EBFFFBAL_01124	K02049
EBFFFBAL_01125	K02051
EBFFFBAL_01126	K02050
EBFFFBAL_01129	K22336
EBFFFBAL_01132	K01008
EBFFFBAL_01135	K22135
EBFFFBAL_01138	K01462
EBFFFBAL_01139	K03629
EBFFFBAL_01140	K03501
EBFFFBAL_01145	K02990
EBFFFBAL_01147	K07050
EBFFFBAL_01160	K03621
EBFFFBAL_01163	K03738
EBFFFBAL_01164	K17758
EBFFFBAL_01170	K03625
EBFFFBAL_01172	K00059
EBFFFBAL_01175	K02836
EBFFFBAL_01177	K03637
EBFFFBAL_01178	K21142
EBFFFBAL_01182	K03529
EBFFFBAL_01185	K03572
EBFFFBAL_01186	K12410
EBFFFBAL_01187	K14491
EBFFFBAL_01188	K04075
EBFFFBAL_01203	K01299
EBFFFBAL_01210	K07056
EBFFFBAL_01213	K00027
EBFFFBAL_01214	K03553
EBFFFBAL_01215	K03565
EBFFFBAL_01219	K01667
EBFFFBAL_01222	K02499
EBFFFBAL_01224	K02996
EBFFFBAL_01226	K06173
EBFFFBAL_01228	K03040
EBFFFBAL_01229	K02986
EBFFFBAL_01230	K02948
EBFFFBAL_01231	K02952
EBFFFBAL_01233	K00939
EBFFFBAL_01237	K02988
EBFFFBAL_01238	K02881
EBFFFBAL_01239	K02933
EBFFFBAL_01240	K02994
EBFFFBAL_01242	K02931
EBFFFBAL_01243	K02895
EBFFFBAL_01244	K02874
EBFFFBAL_01248	K02982
EBFFFBAL_01250	K02965
EBFFFBAL_01252	K02892
EBFFFBAL_01253	K02926
EBFFFBAL_01254	K02906
EBFFFBAL_01255	K02946
EBFFFBAL_01260	K07152
EBFFFBAL_01263	K02274
EBFFFBAL_01264	K02275
EBFFFBAL_01265	K07219
EBFFFBAL_01266	K03750
EBFFFBAL_01269	K01534
EBFFFBAL_01270	K21903
EBFFFBAL_01271	K00318
EBFFFBAL_01276	K06969
EBFFFBAL_01280	K01185
EBFFFBAL_01285	K03555
EBFFFBAL_01286	K10112
EBFFFBAL_01287	K15635
EBFFFBAL_01301	K11085
EBFFFBAL_01302	K06147
EBFFFBAL_01309	K03553
EBFFFBAL_01310	K17987
EBFFFBAL_01312	K01251
EBFFFBAL_01313	K00856
EBFFFBAL_01314	K03239
EBFFFBAL_01317	K00036
EBFFFBAL_01318	K00033
EBFFFBAL_01320	K00616
EBFFFBAL_01321	K07319
EBFFFBAL_01322	K00615
EBFFFBAL_01323	K05710
EBFFFBAL_01325	K11717
EBFFFBAL_01328	K09014
EBFFFBAL_01329	K09013
EBFFFBAL_01333	K00626
EBFFFBAL_01334	K07516
EBFFFBAL_01350	K03696
EBFFFBAL_01354	K01992
EBFFFBAL_01355	K01992
EBFFFBAL_01356	K01990
EBFFFBAL_01357	K11623
EBFFFBAL_01358	K11624
EBFFFBAL_01361	K03404
EBFFFBAL_01362	K03405
EBFFFBAL_01363	K02945
EBFFFBAL_01364	K03696
EBFFFBAL_01365	K10046
EBFFFBAL_01371	K04485
EBFFFBAL_01377	K01969
EBFFFBAL_01384	K01692
EBFFFBAL_01391	K00847
EBFFFBAL_01392	K01681
EBFFFBAL_01393	K03523
EBFFFBAL_01399	K03787
EBFFFBAL_01405	K02045
EBFFFBAL_01407	K02064
EBFFFBAL_01410	K02520
EBFFFBAL_01413	K19689
EBFFFBAL_01414	K03437
EBFFFBAL_01415	K01620
EBFFFBAL_01427	K04767
EBFFFBAL_01430	K01768
EBFFFBAL_01432	K03325
EBFFFBAL_01440	K02435
EBFFFBAL_01441	K02433
EBFFFBAL_01443	K03088
EBFFFBAL_01450	K15518
EBFFFBAL_01459	K07979
EBFFFBAL_01461	K06215
EBFFFBAL_01462	K08681
EBFFFBAL_01465	K00943
EBFFFBAL_01467	K19225
EBFFFBAL_01468	K09128
EBFFFBAL_01469	K09123
EBFFFBAL_01471	K01079
EBFFFBAL_01479	K14164
EBFFFBAL_01481	K06925
EBFFFBAL_01482	K14742
EBFFFBAL_01483	K03789
EBFFFBAL_01485	K13015
EBFFFBAL_01489	K01711
EBFFFBAL_01495	K01868
EBFFFBAL_01512	K07456
EBFFFBAL_01517	K01990
EBFFFBAL_01527	K07683
EBFFFBAL_01532	K03118
EBFFFBAL_01544	K02574
EBFFFBAL_01545	K02016
EBFFFBAL_01546	K02015
EBFFFBAL_01547	K02013
EBFFFBAL_01555	K01995
EBFFFBAL_01557	K07646
EBFFFBAL_01558	K07667
EBFFFBAL_01565	K07683
EBFFFBAL_01569	K03595
EBFFFBAL_01572	K10780
EBFFFBAL_01573	K07130
EBFFFBAL_01574	K02549
EBFFFBAL_01578	K03531
EBFFFBAL_01586	K01875
EBFFFBAL_01598	K02482
EBFFFBAL_01599	K13533
EBFFFBAL_01600	K00259
EBFFFBAL_01602	K00873
EBFFFBAL_01609	K03593
EBFFFBAL_01612	K13378
EBFFFBAL_01618	K00762
EBFFFBAL_01619	K00226
EBFFFBAL_01620	K01756
EBFFFBAL_01621	K01873
EBFFFBAL_01630	K03439
EBFFFBAL_01632	K01784
EBFFFBAL_01639	K00020
EBFFFBAL_01644	K00666
EBFFFBAL_01649	K01711
