locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJGJENBJ_00001	CDS	741				hypothetical protein
AJGJENBJ_00002	CDS	855				hypothetical protein
AJGJENBJ_00003	CDS	1386	gltP		COG1301	Proton/glutamate-aspartate symporter
AJGJENBJ_00004	CDS	441				hypothetical protein
AJGJENBJ_00005	CDS	159				hypothetical protein
AJGJENBJ_00006	CDS	204				hypothetical protein
AJGJENBJ_00007	CDS	1314	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
AJGJENBJ_00008	CDS	1209	ancA_1			Cellulosome-anchoring protein
AJGJENBJ_00009	CDS	1491				hypothetical protein
AJGJENBJ_00010	tRNA	75				tRNA-Glu(ctc)
AJGJENBJ_00011	CDS	639	rpoE			ECF RNA polymerase sigma-E factor
AJGJENBJ_00012	CDS	309	hpf			Ribosome hibernation promotion factor
AJGJENBJ_00013	CDS	1563				hypothetical protein
AJGJENBJ_00014	CDS	2364	rimK_1	6.3.2.-		Ribosomal protein S6--L-glutamate ligase
AJGJENBJ_00015	CDS	141				hypothetical protein
AJGJENBJ_00016	CDS	375				hypothetical protein
AJGJENBJ_00017	CDS	2727				hypothetical protein
AJGJENBJ_00018	CDS	381				hypothetical protein
AJGJENBJ_00019	CDS	2472				hypothetical protein
AJGJENBJ_00020	CDS	276	hup		COG0776	DNA-binding protein HU
AJGJENBJ_00021	CDS	675	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
AJGJENBJ_00022	CDS	1314	sacA	5.1.3.14		UDP-N-acetylglucosamine 2-epimerase
AJGJENBJ_00023	CDS	1485				hypothetical protein
AJGJENBJ_00024	CDS	465	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
AJGJENBJ_00025	CDS	603				hypothetical protein
AJGJENBJ_00026	CDS	927				hypothetical protein
AJGJENBJ_00027	CDS	498				hypothetical protein
AJGJENBJ_00028	CDS	4680				hypothetical protein
AJGJENBJ_00029	CDS	1125				hypothetical protein
AJGJENBJ_00030	CDS	1734	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
AJGJENBJ_00031	CDS	825	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
AJGJENBJ_00032	CDS	630				hypothetical protein
AJGJENBJ_00033	CDS	825				hypothetical protein
AJGJENBJ_00034	CDS	630	recO		COG1381	DNA repair protein RecO
AJGJENBJ_00035	CDS	1209	vanW_1		COG2720	Vancomycin B-type resistance protein VanW
AJGJENBJ_00036	CDS	561			COG0328	Bifunctional protein
AJGJENBJ_00037	CDS	1287	proS	6.1.1.15	COG0442	Proline--tRNA ligase
AJGJENBJ_00038	CDS	411				hypothetical protein
AJGJENBJ_00039	CDS	1566	comEC_1		COG0658	ComE operon protein 3
AJGJENBJ_00040	CDS	258				hypothetical protein
AJGJENBJ_00041	CDS	252				hypothetical protein
AJGJENBJ_00042	CDS	378				hypothetical protein
AJGJENBJ_00043	tRNA	75				tRNA-Glu(ttc)
AJGJENBJ_00044	CDS	381				hypothetical protein
